collocate,raw_frequency,MI
muttered,702,1.1983743080701272
locked,584,0.689259548707766
wall,1955,-0.518984940883473
shortly,443,2.064203050158967
sunset,462,0.9235956404542541
quinton,45,3.9456452223256187
driving,446,1.6519887600758743
rain,1105,0.051559917584139914
thunder,406,1.7459545524942057
smaller,334,1.2480195385592927
indifferently,133,2.168811403314239
garden,2602,0.5814192335834332
gate,1627,0.35781460487690064
suggestion,384,1.8016651595082116
veranda,86,2.6048132352824855
seat,1581,-0.306652305673479
faint,1154,0.7013182650278935
suicide,164,3.057906392379904
vicisti,1,7.059160531535993
erskine,4,5.6728661704161025
harris,27,3.7633236655316638
fairyland,44,3.274970897617732
impartially,27,3.7633236655316638
steadily,480,1.5785216081940017
italian,744,1.1402666772628465
brigands,11,4.661265258737623
tapestry,59,2.9816230876302736
exclamation,242,1.5702228053793068
awoke,318,1.2971091487558164
stole,439,2.0732734071289314
choose,923,1.3301435857012507
hilts,16,4.286571809296212
ran,2586,0.9930524414322454
anthony,26,3.8010639935145107
matted,32,3.5934246287362663
floor,1782,-0.42633107649476143
cork,57,3.016109263701443
salted,16,4.286571809296212
almond,29,3.691864701549519
ships,341,1.9204252348124216
lanterns,68,2.8396528263598864
hammer,203,2.439101733054151
horror,683,1.2258128525251484
dusting,37,3.4482426188917685
steps,1500,0.43908732500563696
heights,131,2.1839632083348417
calmly,456,1.6298149025815525
parapet,117,2.296986596738237
healthy,284,1.410186293374787
disease,205,1.7361505523975849
divided,318,1.2971091487558164
space,930,0.9171231259486367
peaks,94,2.515865749265989
dipped,133,2.168811403314239
flowers,1640,0.34985619127769424
downstairs,637,1.295538056523775
cool,685,0.5297416932737679
admiration,789,0.38839421069011887
vanquished,60,2.9648159693138925
pass,1838,-0.4572727713796393
drawer,225,1.643060129331573
pauline,51,3.127334898811667
generals,65,2.884773261640356
horn,256,2.207130267616376
evidence,613,0.6407955955997817
ends,417,1.0260743097371916
obstinately,94,3.2090129298259344
reach,1022,0.12964376077234335
cold,2983,0.1570880356893543
conviction,553,0.7438025300136583
station,1055,0.0978644856258263
stories,536,2.1613207315850818
hence,427,1.6955236988673137
killing,175,1.894374557612479
assented,211,2.400449578619872
blinking,54,3.0701764849717184
apologetically,59,2.9816230876302736
detective,155,2.0157354146167465
quickly,1742,-0.403628625876455
attack,470,0.9064278368318889
slash,15,4.351110330433783
hack,57,3.016109263701443
