,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.9599000215530396,"verse, man, merciful, day, word, night, book, year, sura, many","['suppression', 'substitution', 'power', 'child', 'extinction', 'superstitious', 'usage', 'reduction', 'number', 'wife', 'standard', 'unquestionable', 'blessing', 'accession', 'christian', 'sense', 'revelation', 'truth', 'many', 'eastern', 'arm', 'victorious', 'middle', 'age', 'much', 'knowledge', 'dialectic', 'philosophy', 'medicine', 'architecture', 'arabian', 'writer', 'importation', 'numerous', 'article', 'luxury', 'use']"
1,1.0,0.9592999815940857,"name, compassionate, time, early, great, history, truth, prophet, office, revelation","['possible', 'muhammad', 'later', 'period', 'career', 'mixed', 'early', 'revelation', 'sura', 'mysterious', 'style', 'pleasing', 'mind', 'value', 'truth', 'least', 'clear', 'obvious', 'purpose', 'early', 'statement', 'last', 'hour', 'awful', 'judgment', 'imminent', 'follower', 'expectation', 'success', 'truth', 'early', 'prediction']"
2,2.0,0.9239000082015991,"life, tradition, thing, subject, apostle, muhammad, hand, historical, translation, ancient","['arrangement', 'translation', 'tradition', 'muhammadan', 'reference', 'ancient', 'chronological', 'list', 'careful', 'consideration', 'subject', 'matter', 'separate', 'sura', 'probable', 'connection', 'sequence', 'life', 'muhammad']"
3,3.0,0.920799970626831,"mind, case, form, witness, literary, work, certain, career, tradition, founder","['whole', 'strike', 'work', 'career', 'rhetorical', 'poetical', 'form', 'likely', 'win', 'attract', 'countryman', 'dogmatic', 'teacher', 'politic', 'founder', 'system', 'law', 'regulation', 'occasion']"
4,4.0,0.9172999858856201,"fire, version, note, other, sale, original, arabic, rich, edition, source","['late', 'version', 'general', 'phraseology', 'common', 'scripture', 'similarity', 'orthography', 'proper', 'name', 'version', 'less', 'basis', 'other', 'age', 'source', 'information']"
